country,region,year,gdp_growth,inflation_rate,unemployment_rate,fdi_pct_gdp,trade_openness,literacy_rate,population_growth,internet_penetration,government_debt_pct,natural_resources_rents,growth_category
Botswana,Southern Africa,2013,4.42,17.84,3.93,0.0,102.83,71.59,1.69,7.08,67.77,9.38,low
Mali,West Africa,2003,2.52,27.27,16.66,2.19,52.87,45.94,1.96,20.74,54.48,7.66,low
Seychelles,East Africa,2017,6.25,6.98,11.64,4.41,27.35,63.97,2.85,23.94,71.46,9.01,medium
Zambia,Southern Africa,2014,5.93,5.8,17.26,0.0,81.06,61.76,2.24,16.52,37.53,0.59,medium
Niger,West Africa,2012,4.54,2.37,8.8,1.06,23.23,73.92,1.8,52.21,40.35,17.9,medium
Comoros,East Africa,2017,2.13,10.26,16.98,6.25,44.9,82.81,0.51,7.43,63.15,1.7,low
Mali,West Africa,2021,4.89,4.84,11.05,6.01,70.4,67.71,2.87,21.94,49.42,2.9,medium
DRC,Central Africa,2007,4.29,5.33,7.6,4.44,57.95,42.03,2.58,27.69,54.72,4.61,medium
Rwanda,East Africa,2010,0.5,4.69,9.59,5.71,56.18,66.94,1.98,7.61,51.72,5.95,medium
Lesotho,Southern Africa,2004,0.08,4.51,4.82,4.04,36.38,99.0,1.46,41.63,80.07,5.05,medium
Morocco,North Africa,2015,6.2,2.32,23.94,4.89,59.78,94.63,2.51,55.25,81.11,1.88,high
Rwanda,East Africa,2009,-3.31,29.4,11.42,2.71,80.07,20.0,2.98,31.95,42.48,9.96,low
Uganda,East Africa,2008,5.12,9.32,15.87,3.79,60.4,66.14,2.6,5.43,19.8,1.41,low
Mauritania,West Africa,2016,3.07,28.49,8.78,1.92,43.4,81.78,4.14,29.28,40.77,0.9,low
Rwanda,East Africa,2009,8.42,31.58,5.69,6.66,35.05,61.72,3.2,20.13,37.06,3.57,low
Niger,West Africa,2011,3.02,3.26,10.6,7.3,43.81,56.72,2.39,23.04,71.63,0.78,medium
Mozambique,Southern Africa,2010,6.48,4.65,18.61,6.95,67.85,60.19,3.24,56.63,73.41,17.28,high
South Africa,Southern Africa,2006,3.31,10.7,8.88,2.48,66.87,74.94,2.55,18.08,34.38,6.06,low
Liberia,West Africa,2003,4.84,2.86,6.78,1.12,43.99,44.33,2.55,34.75,39.91,1.83,medium
Sao Tome and Principe,Central Africa,2019,6.71,17.92,12.93,6.69,15.78,86.4,3.8,5.61,25.42,1.99,low
Senegal,West Africa,2002,3.11,4.49,14.99,4.86,68.4,63.99,1.6,29.79,57.69,9.19,medium
Sudan,North Africa,2007,7.49,3.13,21.86,4.32,42.05,48.17,2.52,4.95,54.1,1.9,low
Equatorial Guinea,Central Africa,2016,1.52,3.77,14.12,1.92,73.78,85.24,3.69,16.86,70.78,3.91,low
Libya,North Africa,2003,5.38,0.55,15.86,4.56,44.88,37.19,2.81,35.02,64.94,10.33,medium
Eritrea,East Africa,2015,7.27,2.54,16.32,0.79,40.24,55.01,2.13,35.01,67.2,3.57,medium
Tanzania,East Africa,2017,6.48,28.37,5.08,5.09,63.06,54.71,0.79,12.44,24.16,3.69,low
Angola,Southern Africa,2015,10.25,3.75,6.22,6.95,107.15,99.0,0.23,23.81,42.47,1.86,high
Gabon,Central Africa,2007,2.21,3.32,5.5,7.58,74.98,52.67,4.58,28.58,73.98,4.49,medium
Equatorial Guinea,Central Africa,2000,0.36,6.3,4.01,5.27,62.72,26.21,2.81,35.53,44.23,4.52,low
Senegal,West Africa,2021,1.52,6.0,16.77,0.04,67.18,54.53,1.92,22.8,22.45,19.72,low
Guinea-Bissau,West Africa,2007,6.48,0.87,13.74,3.99,24.98,73.2,2.85,35.14,71.16,7.52,high
Mauritius,East Africa,2019,5.99,7.51,12.48,8.85,37.55,79.11,1.55,41.08,43.45,6.42,high
Malawi,Southern Africa,2004,4.81,0.84,1.0,1.33,10.0,99.0,2.17,19.26,76.25,0.4,medium
Djibouti,East Africa,2003,1.13,1.6,24.33,3.35,94.6,90.32,1.56,17.95,54.63,6.05,low
Cameroon,Central Africa,2018,6.8,0.41,6.63,7.03,90.55,68.38,1.09,14.56,49.46,1.15,high
Mozambique,Southern Africa,2022,0.83,10.74,24.31,5.04,67.86,48.95,0.4,17.62,82.26,5.07,low
Mauritania,West Africa,2020,7.98,8.82,3.3,9.7,62.7,94.23,0.9,23.12,28.95,0.29,high
Libya,North Africa,2018,13.07,3.04,7.13,1.67,28.97,58.37,3.52,14.89,83.68,0.65,high
Uganda,East Africa,2005,5.6,7.58,1.0,1.03,55.61,53.15,1.51,37.99,42.21,10.99,high
Equatorial Guinea,Central Africa,2021,6.25,15.6,14.17,6.56,95.85,57.49,3.03,41.74,58.25,3.31,medium
Morocco,North Africa,2016,3.02,1.32,5.39,0.51,62.63,42.46,3.46,27.4,58.44,3.82,medium
Guinea-Bissau,West Africa,2004,-0.93,3.33,5.56,3.01,48.71,56.63,2.52,31.06,46.46,9.95,low
Nigeria,West Africa,2003,2.69,0.77,3.76,3.34,24.84,60.8,2.2,3.09,39.76,8.58,medium
Lesotho,Southern Africa,2020,1.22,0.11,16.66,6.09,87.61,78.15,2.63,23.78,47.6,5.38,medium
Lesotho,Southern Africa,2006,0.16,1.21,16.27,5.04,58.6,58.01,2.08,13.16,34.71,2.62,low
Lesotho,Southern Africa,2018,9.67,7.02,22.87,4.64,24.87,42.19,3.7,15.18,94.24,4.94,medium
Liberia,West Africa,2003,5.32,5.55,7.89,2.49,41.51,36.13,4.38,32.46,45.38,8.09,medium
Rwanda,East Africa,2006,5.64,3.68,13.31,6.54,34.45,68.77,3.95,32.23,78.18,14.05,high
Eritrea,East Africa,2006,3.57,6.21,4.26,13.56,57.37,66.31,0.35,21.65,75.54,6.65,medium
Madagascar,Southern Africa,2006,3.98,13.19,9.99,5.23,64.15,55.02,2.06,31.97,62.26,0.44,medium
Lesotho,Southern Africa,2016,7.39,5.86,8.89,3.75,49.94,56.59,2.5,10.24,52.29,12.0,medium
Tunisia,North Africa,2021,4.4,9.72,14.79,0.26,75.54,71.99,2.96,42.43,58.88,0.03,medium
Zimbabwe,Southern Africa,2021,6.09,4.47,18.1,1.91,61.58,90.03,0.77,38.68,66.44,8.78,medium
Benin,West Africa,2017,3.91,0.32,17.95,2.97,81.25,50.96,0.76,16.81,57.01,3.98,medium
South Africa,Southern Africa,2004,3.47,3.73,6.94,2.16,52.86,66.6,3.81,15.61,23.67,6.72,medium
Ethiopia,East Africa,2023,0.28,13.7,17.99,3.46,120.0,82.25,1.94,29.17,18.63,0.75,low
Uganda,East Africa,2013,-1.43,6.41,11.74,7.95,48.71,51.03,1.01,20.56,85.18,3.71,low
Côte d'Ivoire,West Africa,2013,3.72,31.89,10.05,6.62,41.93,64.72,1.4,9.3,10.0,3.41,low
Kenya,East Africa,2016,4.67,6.97,7.75,3.1,39.47,64.32,2.89,25.05,58.91,2.74,medium
Senegal,West Africa,2018,0.64,11.47,8.64,0.48,55.78,41.4,1.68,9.44,50.3,3.0,low
Liberia,West Africa,2022,4.4,12.65,22.45,6.84,25.61,68.03,2.74,21.81,58.22,7.84,low
Congo,Central Africa,2013,4.66,5.39,13.84,3.38,65.89,65.57,1.52,5.74,32.2,6.86,low
Rwanda,East Africa,2014,-1.97,4.53,13.05,0.0,21.89,74.99,0.76,34.08,62.01,1.72,low
Mauritius,East Africa,2017,1.75,7.0,10.43,5.28,63.23,43.64,3.92,20.94,59.12,2.6,low
South Africa,Southern Africa,2006,5.72,12.31,26.68,6.06,32.97,65.18,2.9,26.16,110.22,3.97,low
DRC,Central Africa,2007,5.66,9.74,19.83,0.0,52.37,89.87,2.17,42.22,57.6,2.31,medium
Gabon,Central Africa,2015,1.04,9.21,7.67,1.44,72.09,99.0,1.98,38.89,81.96,23.45,low
South Africa,Southern Africa,2001,4.98,1.23,10.36,3.22,106.08,88.04,3.96,32.89,25.03,1.52,medium
Libya,North Africa,2007,7.57,3.64,10.71,5.34,38.44,43.81,3.09,3.73,75.4,2.57,medium
South Africa,Southern Africa,2017,6.83,8.5,12.88,2.21,56.99,73.12,3.65,30.58,59.53,8.93,medium
Tunisia,North Africa,2023,4.21,4.57,7.79,1.42,45.52,56.3,1.92,45.68,60.39,21.76,medium
Tanzania,East Africa,2012,3.1,17.71,14.63,5.32,42.6,70.11,2.55,11.15,60.67,2.78,low
Tunisia,North Africa,2009,2.61,0.42,20.71,2.33,45.7,51.1,2.9,10.95,89.13,3.42,low
Lesotho,Southern Africa,2010,5.9,2.6,4.12,4.86,76.48,34.16,1.95,22.03,60.1,9.38,medium
Angola,Southern Africa,2016,5.09,0.36,5.23,0.72,50.24,58.8,2.4,15.51,39.32,0.0,medium
Sierra Leone,West Africa,2013,6.39,2.45,9.1,0.12,104.99,78.01,1.92,39.79,42.68,1.01,medium
Ethiopia,East Africa,2000,4.9,0.09,9.38,5.39,68.32,70.18,2.9,9.28,71.34,9.32,medium
Burkina Faso,West Africa,2012,6.96,28.7,23.99,4.13,39.8,72.25,1.18,11.58,63.95,1.45,low
Senegal,West Africa,2009,4.78,7.01,18.01,5.81,52.67,68.89,3.07,3.87,24.39,3.77,low
Namibia,Southern Africa,2016,6.85,6.12,17.67,2.17,43.96,72.28,2.81,17.33,65.29,19.95,medium
Ghana,West Africa,2021,7.11,6.31,10.41,1.51,76.0,74.53,2.3,9.75,33.35,1.1,medium
Madagascar,Southern Africa,2023,2.09,2.74,10.28,6.9,27.22,60.06,2.95,14.71,63.77,1.84,medium
Zambia,Southern Africa,2014,-0.92,1.38,3.29,0.0,33.18,66.49,2.14,21.48,38.89,17.45,low
Namibia,Southern Africa,2008,9.13,7.61,16.69,6.63,48.17,96.38,1.83,50.15,49.37,12.23,high
Mauritius,East Africa,2010,5.27,1.03,14.95,6.8,73.66,67.56,3.04,26.01,44.1,2.84,high
Ethiopia,East Africa,2004,-0.64,0.37,19.72,5.65,84.66,65.77,3.09,21.57,85.38,3.03,low
Mozambique,Southern Africa,2022,2.36,3.05,10.74,1.78,87.61,66.85,1.99,23.05,63.04,0.91,medium
Equatorial Guinea,Central Africa,2020,6.82,6.51,11.15,1.46,70.6,61.08,1.91,40.17,80.22,7.35,high
Egypt,North Africa,2020,3.66,0.69,13.02,2.97,58.34,57.16,2.32,35.45,112.9,0.37,medium
Mauritius,East Africa,2007,2.96,12.89,17.35,0.26,75.89,68.76,1.95,42.94,55.94,15.62,low
Cameroon,Central Africa,2007,8.7,5.8,3.18,1.1,37.11,55.9,4.03,14.3,85.04,2.63,high
Comoros,East Africa,2020,1.36,18.76,16.42,5.11,23.11,62.38,2.82,16.66,41.01,0.37,low
Cameroon,Central Africa,2013,2.11,0.31,11.88,5.12,68.73,50.77,2.51,11.68,80.1,6.42,low
Senegal,West Africa,2016,5.13,0.11,5.65,0.88,39.89,66.94,1.57,17.25,38.85,8.18,medium
Liberia,West Africa,2011,5.67,2.13,1.0,5.19,58.69,75.52,3.24,15.63,54.63,2.75,high
Uganda,East Africa,2010,5.99,0.23,11.18,4.64,62.39,61.19,1.89,31.57,65.74,5.35,high
Tunisia,North Africa,2015,7.23,11.29,20.69,7.27,64.96,28.85,1.85,5.82,68.88,4.02,medium
Benin,West Africa,2019,5.1,9.22,22.05,4.92,78.76,75.63,3.27,22.45,29.55,10.17,medium
Lesotho,Southern Africa,2008,5.97,3.73,14.13,6.15,76.64,67.16,2.89,21.25,37.66,3.33,high
Namibia,Southern Africa,2019,3.72,1.4,23.77,4.69,63.9,47.12,0.0,31.84,67.23,15.09,medium
Liberia,West Africa,2005,4.69,5.64,11.74,5.95,51.16,78.92,2.34,14.96,47.65,7.81,medium
Zambia,Southern Africa,2009,4.82,5.72,17.72,0.28,62.16,39.83,2.63,36.02,27.05,4.45,low
Zambia,Southern Africa,2021,5.15,11.21,9.29,3.2,48.08,83.82,2.16,18.34,53.58,1.6,medium
Zambia,Southern Africa,2022,6.82,1.47,8.91,3.4,56.07,63.97,2.66,16.14,52.62,1.21,medium
Guinea-Bissau,West Africa,2022,6.17,9.62,7.93,2.89,112.36,24.16,0.69,14.98,58.54,9.55,low
Niger,West Africa,2007,4.63,8.19,1.0,4.61,63.64,68.21,0.0,8.7,65.58,1.36,medium
Sudan,North Africa,2020,2.07,3.99,19.72,5.09,69.0,57.69,1.52,7.05,64.31,3.32,low
Niger,West Africa,2022,4.7,0.37,8.15,4.48,45.89,54.98,2.78,35.58,39.64,1.8,high
Ethiopia,East Africa,2023,4.42,0.87,7.19,3.06,80.4,51.72,0.0,9.82,46.78,2.76,medium
Kenya,East Africa,2000,5.08,0.78,4.92,1.66,75.21,62.71,1.66,5.85,73.56,0.13,medium
Tanzania,East Africa,2017,11.12,5.52,10.77,6.24,75.35,56.27,0.58,24.42,44.14,1.21,high
Gabon,Central Africa,2023,2.93,13.48,22.58,4.37,64.3,31.58,2.26,28.85,47.1,5.46,low
Gambia,West Africa,2018,5.77,7.6,24.56,0.95,80.68,87.9,4.46,11.13,24.91,6.84,low
Mauritania,West Africa,2005,7.71,1.9,2.03,3.02,85.43,60.6,2.28,21.15,54.43,11.26,high
Rwanda,East Africa,2018,4.79,6.66,9.87,0.0,65.66,51.83,2.39,21.37,61.91,1.41,medium
Eritrea,East Africa,2002,11.51,8.02,5.79,3.59,57.71,44.69,3.34,43.31,15.49,0.48,high
Sudan,North Africa,2011,3.37,28.31,17.93,3.0,77.89,78.87,2.52,31.12,33.59,1.02,low
Comoros,East Africa,2015,5.47,0.37,13.72,2.06,41.92,41.63,2.29,45.98,26.57,3.54,high
Benin,West Africa,2010,2.1,5.8,8.18,7.46,45.64,67.41,3.43,14.04,70.77,1.02,low
Cabo Verde,West Africa,2016,3.45,15.54,12.44,0.61,58.93,54.49,2.97,37.54,16.75,3.2,low
Algeria,North Africa,2005,5.25,0.39,9.14,5.27,25.17,55.54,2.79,21.75,53.43,8.21,medium
Guinea,West Africa,2014,7.04,2.06,21.69,8.97,76.55,45.14,2.36,25.99,69.36,9.76,medium
Mauritania,West Africa,2015,5.46,6.74,15.28,6.19,40.74,53.83,2.15,3.67,58.76,5.32,low
Guinea,West Africa,2015,8.28,3.54,16.02,3.42,50.57,65.16,3.42,26.42,46.2,3.78,high
Zimbabwe,Southern Africa,2006,4.22,4.95,1.0,0.66,55.73,69.24,2.16,9.83,61.93,3.39,medium
Sudan,North Africa,2007,3.5,4.8,11.6,0.09,60.79,50.86,3.73,7.07,75.74,4.34,low
Malawi,Southern Africa,2006,12.61,7.97,24.5,2.47,53.13,63.36,1.45,7.37,52.85,3.17,medium
Mozambique,Southern Africa,2011,5.68,3.03,19.96,1.78,58.65,80.99,3.93,7.84,10.22,0.08,low
Angola,Southern Africa,2014,2.34,8.55,1.0,1.7,58.81,35.07,2.97,27.78,77.95,3.11,medium
Mauritania,West Africa,2008,2.42,10.58,10.12,2.68,51.06,64.89,1.53,38.09,63.01,1.57,low
Libya,North Africa,2009,1.67,6.34,4.79,3.24,44.54,47.89,3.01,38.63,54.34,0.07,medium
Sierra Leone,West Africa,2006,7.31,2.53,22.27,4.71,81.63,46.05,1.85,13.82,15.39,1.31,medium
Mali,West Africa,2005,3.41,15.1,13.47,0.41,17.91,69.7,2.53,14.78,49.03,4.71,low
Sao Tome and Principe,Central Africa,2015,4.88,0.23,7.39,1.79,55.89,55.19,2.01,8.31,37.49,0.02,medium
Tanzania,East Africa,2019,4.31,4.79,12.2,3.1,50.62,43.1,2.37,28.69,30.67,0.49,medium
Burkina Faso,West Africa,2006,6.69,9.71,1.0,3.01,68.38,88.84,3.44,20.79,52.27,1.86,medium
Kenya,East Africa,2020,1.96,3.33,5.49,8.09,30.91,81.56,3.02,41.85,44.28,4.17,high
Niger,West Africa,2013,1.27,2.8,12.22,4.08,50.0,30.22,1.37,24.72,45.6,3.98,medium
Seychelles,East Africa,2004,5.17,0.9,17.07,0.0,57.95,38.46,1.43,9.9,69.79,3.6,low
Mali,West Africa,2008,6.3,4.09,1.0,4.55,81.4,75.68,2.77,51.41,60.11,4.96,high
Comoros,East Africa,2000,5.5,18.74,9.71,4.86,66.64,59.87,2.84,40.63,45.09,0.07,medium
Guinea,West Africa,2000,2.07,0.23,18.06,3.19,36.33,92.01,1.83,37.46,42.55,0.54,medium
Mauritania,West Africa,2008,6.53,0.42,3.29,0.47,50.25,76.09,4.09,44.64,45.9,11.85,high
Zimbabwe,Southern Africa,2010,2.27,16.08,13.38,7.9,77.72,70.39,3.31,8.06,50.05,1.59,low
Madagascar,Southern Africa,2019,2.94,35.63,12.4,0.83,35.98,46.61,1.87,33.58,66.68,6.81,low
Gabon,Central Africa,2003,1.67,6.68,22.29,5.15,58.43,73.85,1.78,43.62,34.15,0.3,low
Seychelles,East Africa,2020,8.4,34.79,10.62,4.0,59.82,42.04,2.27,19.51,84.17,2.57,low
Madagascar,Southern Africa,2005,6.4,5.5,10.97,5.0,52.28,88.49,2.17,32.54,66.7,3.12,high
Gabon,Central Africa,2003,6.31,5.69,17.13,7.77,113.92,72.6,3.76,13.43,10.0,5.03,medium
Madagascar,Southern Africa,2016,8.24,9.06,4.04,4.9,51.75,50.15,3.48,35.45,56.71,9.88,high
Eritrea,East Africa,2018,12.94,26.32,10.67,2.1,69.0,79.48,2.54,45.57,75.81,2.61,medium
Lesotho,Southern Africa,2014,-0.63,2.38,9.27,6.26,44.67,99.0,3.18,17.88,62.77,0.84,medium
Zimbabwe,Southern Africa,2002,2.28,5.36,11.17,1.92,70.55,61.08,3.32,10.51,46.75,3.15,low
Gambia,West Africa,2002,2.65,18.95,17.09,3.91,77.42,74.91,2.56,7.75,53.78,0.27,low
Madagascar,Southern Africa,2009,1.95,17.73,15.32,0.27,48.24,57.23,2.9,29.76,58.57,8.05,low
DRC,Central Africa,2010,1.27,15.74,7.51,0.92,58.91,66.54,3.09,10.24,70.39,3.05,low
Tanzania,East Africa,2023,3.6,8.41,12.82,3.63,42.09,37.87,2.99,25.68,26.7,0.53,medium
Zimbabwe,Southern Africa,2006,0.85,8.43,20.94,4.42,37.11,64.99,1.72,11.6,42.9,1.44,low
Comoros,East Africa,2004,5.51,5.53,7.01,0.0,80.74,65.78,1.82,31.87,87.77,5.35,medium
Uganda,East Africa,2022,4.66,0.53,12.87,4.74,48.92,97.38,2.21,22.71,55.66,4.79,medium
Zimbabwe,Southern Africa,2003,5.94,3.09,10.84,1.45,11.73,32.69,1.79,22.55,85.56,0.72,medium
Eritrea,East Africa,2000,6.02,9.72,11.62,6.7,95.31,59.94,1.03,3.13,114.71,0.27,medium
Ghana,West Africa,2010,6.31,3.28,2.22,2.62,43.96,88.19,3.18,18.6,45.16,8.35,medium
Gambia,West Africa,2009,3.38,2.37,20.46,0.69,55.07,60.65,2.85,30.75,31.05,0.03,low
Angola,Southern Africa,2014,10.86,0.15,7.35,3.69,92.82,61.92,1.16,16.89,49.69,2.22,high
Guinea-Bissau,West Africa,2021,5.2,11.55,18.16,1.21,57.17,50.0,2.26,19.1,76.98,2.02,low
South Africa,Southern Africa,2022,-1.09,5.44,8.27,6.67,56.73,48.21,2.32,7.44,79.78,2.03,low
Tunisia,North Africa,2006,1.49,3.39,8.25,3.5,35.44,32.13,2.68,29.0,100.44,1.57,low
Sudan,North Africa,2023,-0.72,7.72,19.28,3.12,27.3,53.67,1.42,20.09,54.26,4.69,low
Rwanda,East Africa,2015,4.55,1.24,17.96,4.98,56.67,47.19,1.15,5.34,64.76,9.06,medium
Mauritius,East Africa,2001,4.13,14.69,13.25,0.99,67.26,67.12,3.02,20.39,40.76,4.48,low
Nigeria,West Africa,2022,3.09,5.87,16.57,0.28,66.11,50.82,0.97,26.45,10.0,2.82,low
Botswana,Southern Africa,2003,10.53,14.07,10.27,4.52,50.37,56.37,2.27,19.03,54.21,6.59,medium
Guinea,West Africa,2014,6.15,0.17,11.95,0.75,60.41,56.86,2.17,17.89,31.92,1.48,medium
Eritrea,East Africa,2018,6.68,1.31,8.03,0.75,23.26,64.13,2.38,25.53,67.87,2.1,medium
Liberia,West Africa,2005,1.71,0.79,17.42,5.59,69.2,55.49,2.75,14.27,17.37,3.17,low
Senegal,West Africa,2006,1.5,1.83,7.84,4.81,63.23,45.89,4.1,24.57,40.21,9.8,medium
Angola,Southern Africa,2011,4.61,8.64,20.91,0.37,99.47,66.54,0.9,42.2,60.35,0.28,low
Libya,North Africa,2021,5.02,0.87,10.1,1.95,60.15,84.21,3.38,27.71,62.45,0.84,medium
Algeria,North Africa,2005,-1.07,21.61,12.12,1.24,41.15,67.31,0.0,14.51,54.05,3.46,low
Togo,West Africa,2015,3.96,6.79,16.55,7.94,58.99,54.02,3.89,20.15,92.35,0.34,medium
Tanzania,East Africa,2010,4.54,10.8,12.14,5.77,53.44,62.78,0.46,19.15,86.39,4.78,low
